id,releasedate,title,genre,budget,revenue,year,has_trailer
320,2012-05-30,5 Broken Cameras,Documentary,,"$109,983",2012,False
321,2016-12-31,5 Dakkada Değişir Bütün İşler,Comedy,,$0,2016,False
322,2011-08-19,5 Days of War,Drama,"$12,000,000","$17,479",2011,False
323,2015-05-08,5 Flights Up,Drama,,"$1,020,921",2015,True
324,2015-12-31,5 Seconds Of Summer: How Did We End Up Here?,Concert/Performance,,$0,2015,False
325,2015-04-03,5 to 7,Romantic Comedy,,"$137,112",2015,False
326,2004-02-13,50 First Dates,Romantic Comedy,"$75,000,000","$120,776,832",2004,False
327,2014-03-21,50 to 1,Drama,"$10,000,000","$1,069,454",2014,False
328,2006-06-02,50 Ways of Saying Fabulous,Drama,,"$4,800",2006,False
329,2009-07-17,(500) Days of Summer,Romantic Comedy,,"$32,391,374",2009,False
330,2017-07-12,500 Years,,,$0,2017,False
331,2001-04-24,The Five-Thousand Fingers of Doctor T,Multiple Genres,,$0,2001,False
332,2011-09-30,50/50,Black Comedy,"$8,000,000","$35,016,118",2011,True
333,2010-10-19,50th Anniversary Christmas,Concert/Performance,,$0,2010,False
334,2010-12-31,51,Horror,,$0,2010,False
335,2006-10-18,51 Birch Street,Documentary,"$350,000","$84,689",2006,False
336,2009-10-09,"5150, Rue des Ormes",Thriller/Suspense,,"$1,053,966",2009,False
337,1986-11-07,52 Pick-Up,Thriller/Suspense,,"$5,186,646",1986,False
338,2015-03-27,52 Tuesdays,Drama,,"$4,484",2015,False
339,1998-08-28,54,Drama,"$13,000,000","$16,757,163",1998,False
340,1963-01-01,55 Days at Peking,Drama,"$17,000,000","$10,000,000",1963,False
341,2013-01-04,56 Up,Documentary,,"$701,278",2013,False
342,2011-12-31,58: The Film,,,$0,2011,False
343,2011-03-25,The 5th Quarter,Drama,"$6,000,000","$408,159",2011,False
344,2016-01-22,The 5th Wave,Action,"$38,000,000","$34,912,982",2016,True
345,2005-06-10,5×2,Comedy,,"$128,752",2005,False
346,2017-12-31,6 Below,Thriller/Suspense,,$0,2017,False
347,2012-09-11,6 Bullets,Action,,$0,2012,False
348,2017-12-31,6 Days,Action,,$0,2017,False
349,2010-03-30,6 Guns,,,$0,2010,False
350,2012-06-01,6 Month Rule,Comedy,,"$14,057",2012,False
351,2016-10-04,6 Plots,Thriller/Suspense,,$0,2016,False
