imdbid,bech-title,bech-rating,imdb-Title,imdb-Year,key
120681,From Hell,3,From Hell,2001,fromhel01hell
296658,Goyangileul butaghae (Take Care of My Cat),3,Take Care of My Cat,2001,#N/A
227538,Spy Kids,3,Spy Kids,2001,spykids01kids
232500,"Fast and the Furious, The",1,The Fast and the Furious,2001,fastand01ious
252866,American Pie 2,3,American Pie 2,2001,america01pie2
209163,"Mummy Returns, The",3,The Mummy Returns,2001,mummyre01urns
244244,Swordfish,1,Swordfish,2001,swordfi01fish
133152,Planet of the Apes,3,Planet of the Apes,2001,planeto01apes
271972,Arachnid,3,Arachnid,2001,arachni01hnid
248126,Kabhi Khushi Kabhie Gham...,3,Kabhi Khushi Kabhie Gham...,2001,kabhikh01gham
283015,Stranded,3,Stranded,2001,strande01nded
266915,Rush Hour 2,0,Rush Hour 2,2001,rushhou01our2
118589,Glitter,3,Glitter,2001,glitter01tter
256692,Chori Chori Chupke Chupke,1,Chori Chori Chupke Chupke,2001,chorich01upke
286751,Kairo,3,Pulse,2001,kairo01airo
198781,"Monsters, Inc.",1,"Monsters, Inc.",2001,monster01inc.
246578,Donnie Darko,3,Donnie Darko,2001,donnied01arko
161860,Nowhere in Africa,3,Nowhere in Africa,2001,#N/A
251075,Evolution,3,Evolution,2001,evoluti01tion
287471,Late Marriage,2,Late Marriage,2001,#N/A
250739,Sister Mary Explains it All,3,Sister Mary Explains It All,2001,#N/A
243155,Bridget Jones's Diary,3,Bridget Jones's Diary,2001,bridget01iary
286975,Slashers,3,Slashers,2001,slasher07sher
236348,Josie and the Pussycats,3,Josie and the Pussycats,2001,josiean01cats
233657,Epoch,1,Epoch,2001,#N/A
212985,Hannibal,3,Hannibal,2001,hanniba01ibal
279204,Lucky Girl (a.k.a. My Daughter's Secret Life),3,My Daughter's Secret Life,2001,#N/A
254686,"Piano Teacher, The",3,The Piano Teacher,2001,#N/A
274117,Read My Lips,3,Read My Lips,2001,#N/A
264761,Kissing Jessica Stein,3,Kissing Jessica Stein,2001,kissing01tein
290661,Hundstage,3,Dog Days,2001,hundsta01tage
243017,Waking Life,3,Waking Life,2001,wakingl01life
242998,Valentine,2,Valentine,2001,valenti01tine
252684,Manic,3,Manic,2001,manic01anic
290879,"Legend of Suriyothai, The",3,The Legend of Suriyothai,2001,#N/A
265104,"Breed, The",0,The Breed,2001,breed01reed
259711,Vanilla Sky,1,Vanilla Sky,2001,vanilla01asky
247638,"Princess Diaries, The",3,The Princess Diaries,2001,princes01ries
250494,Legally Blonde,3,Legally Blonde,2001,legally01onde
274155,Tanguy,1,Tanguy,2001,tanguy01nguy
166276,Monkeybone,3,Monkeybone,2001,monkeyb01bone
280707,Gosford Park,3,Gosford Park,2001,gosford01park
146316,Lara Croft: Tomb Raider,0,Lara Croft: Tomb Raider,2001,laracro01ider
240772,Ocean's Eleven,1,Ocean's Eleven,2001,ocean's01even
265171,Elvira's Haunted Hills,3,Elvira's Haunted Hills,2001,elvira'01ills
268995,"Majestic, The",1,The Majestic,2001,majesti01stic
237534,Brotherhood of the Wolf,2,Brotherhood of the Wolf,2001,brother05hood
271027,Kiss of the Dragon,1,Kiss of the Dragon,2001,kissoft01agon
243664,Wit,3,Wit,2001,#N/A
272127,Hitched,3,Hitched,2001,#N/A
282418,"Rats, The",3,The Rats,2002,rats00rats
282687,Life or Something Like It,3,Life or Something Like It,2002,lifeors02keit
348226,Tomie: Saishuu-sho - kindan no kajitsu,3,Tomie: Forbidden Fruit,2002,tomie:s02itsu
258153,S1m0ne,3,S1m0ne,2002,s1m0ne02m0ne
272338,Punch-Drunk Love,1,Punch-Drunk Love,2002,punch-d02love
257360,About Schmidt,1,About Schmidt,2002,aboutsc02midt
270688,Teknolust,3,Teknolust,2002,teknolu02lust
298228,Whale Rider,3,Whale Rider,2002,whaleri02ider
282593,I'm with Lucy,0,I'm with Lucy,2002,i'mwith02lucy
351817,"Twilight Samurai, The",3,The Twilight Samurai,2002,#N/A
252076,Maid in Manhattan,3,Maid in Manhattan,2002,maidinm02ttan
279778,Divine Secrets of the Ya-Ya Sisterhood,3,Divine Secrets of the Ya-Ya Sisterhood,2002,divines02hood
121765,Star Wars: Episode II - Attack of the Clones,3,Star Wars: Episode II - Attack of the Clones,2002,starwar02ones
274309,24 Hour Party People,1,24 Hour Party People,2002,24hourp02ople
280760,Igby Goes Down,2,Igby Goes Down,2002,igbygoe02down
304669,"Santa Clause 2, The",1,The Santa Clause 2,2002,santacl02use2
275847,Lilo and Stitch,3,Lilo & Stitch,2002,lilo&st02itch
145937,Naqoyqatsi,0,Naqoyqatsi,2002,naqoyqa02atsi
292644,"Rules of Attraction, The",3,The Rules of Attraction,2002,rulesof02tion
299977,Ying xiong (Hero),3,Hero,2002,yingxio02iong
179098,Moonlight Mile,3,Moonlight Mile,2002,moonlig02mile
324158,Tan de repente,3,Suddenly,2002,tandere02ente
298203,8 Mile,1,8 Mile,2002,8mile02mile
268380,Ice Age,0,Ice Age,2002,iceage02eage
246460,Die Another Day,2,Die Another Day,2002,dieanot02rday
307479,Solaris,1,Solaris,2002,solaris02aris
120912,Men in Black II,1,Men in Black II,2002,meninbl02ckii
283084,Tuck Everlasting,3,Tuck Everlasting,2002,tuckeve02ting
281373,Snow Dogs,1,Snow Dogs,2002,snowdog02dogs
257778,"Hunchback of Notre Dame II, The",1,The Hunchback of Notre Dame II,2002,#N/A
181689,Minority Report,1,Minority Report,2002,minorit02port
329767,Wilbur Wants to Kill Himself,3,Wilbur Wants to Kill Himself,2002,wilburw02self
297181,I Spy,1,I Spy,2002,ispy02ispy
295701,xXx,1,xXx,2002,xxx02xxx
180052,"Adventures of Pluto Nash, The",2,The Adventures of Pluto Nash,2002,adventu02nash
250223,Asterix & Obelix: Mission Cleopatra (Astérix et Obélix: Mission Cléopâtre),3,Asterix and Obelix Meet Cleopatra,2002,asterix02atre
315850,El bonaerense,1,El bonaerense,2002,elbonae02ense
267626,K-19: The Widowmaker,0,K-19: The Widowmaker,2002,k-19:th02aker
313670,Sweet Sixteen,0,Sweet Sixteen,2002,sweetsi02eeni
284478,Charlotte Sometimes,2,Charlotte Sometimes,2002,charlot02imes
319769,Los lunes al sol,1,Mondays in the Sun,2002,loslune02lsol
291988,Intimate Stories,3,Intimate Stories,2002,#N/A
364385,Ju-on: The Grudge,3,Ju-on: The Grudge,2002,#N/A
281358,A Walk to Remember,3,A Walk to Remember,2002,walktor02mber
299658,Chicago,3,Chicago,2002,chicago02cago
295427,"Master of Disguise, The",1,The Master of Disguise,2002,mastero02uise
295297,Harry Potter and the Chamber of Secrets,3,Harry Potter and the Chamber of Secrets,2002,harrypo02rets
219400,Waking Up in Reno,3,Waking Up in Reno,2002,wakingu02reno
264464,Catch Me If You Can,1,Catch Me If You Can,2002,catchme02ucan
276816,Below,0,Below,2002,below02elow
