key,title,studio,totalgross,totaltheaters,openinggross,openingtheaters,boxofficemojo_url,release_date
donkeyp08unch,Donkey Punch,Magn.,19367.0,4.0,4744.0,2.0,http://www.boxofficemojo.com/movies/?id=donkeypunch.htm,2009-01-23
donmcka09ckay,Don McKay,Imag.,13722.0,7.0,8919.0,7.0,http://www.boxofficemojo.com/movies/?id=donmckay.htm,2010-04-02
donne-m08main,Give Me Your Hand,Strand,3601.0,1.0,2434.0,1.0,http://www.boxofficemojo.com/movies/?id=givemeyourhand.htm,2009-09-11
donnied01arko,Donnie Darko,NM,517375.0,58.0,110494.0,58.0,http://www.boxofficemojo.com/movies/?id=donniedarko.htm,2001-10-26
donotre16sist,Do Not Resist,Vanish,72791.0,8.0,7150.0,1.0,http://www.boxofficemojo.com/movies/?id=donotresist.htm,2016-09-30
don'tbe10dark,Don't Be Afraid of the Dark,FD,24046682.0,2780.0,8525728.0,2760.0,http://www.boxofficemojo.com/movies/?id=dontbeafraidofthedark.htm,2011-08-26
don'tbl15rank,Don't Blink - Robert Frank,Ghop,76134.0,4.0,10382.0,1.0,http://www.boxofficemojo.com/movies/?id=dontblink-robertfrank.htm,2016-07-15
don'tbr16athe,Don't Breathe,SGem,89217875.0,3384.0,26411706.0,3051.0,http://www.boxofficemojo.com/movies/?id=dontbreathe.htm,2016-08-26
don'tco05king,Don't Come Knocking,SPC,440793.0,32.0,30630.0,6.0,http://www.boxofficemojo.com/movies/?id=dontcomeknocking.htm,2006-03-17
don'tgo10oods,Don't Go in the Woods,Trib.,,1.0,,1.0,http://www.boxofficemojo.com/movies/?id=dontgointhewoods.htm,2012-01-13
don'tsa01word,Don't Say a Word,Fox,55001642.0,2842.0,17090474.0,2802.0,http://www.boxofficemojo.com/movies/?id=dontsayaword.htm,2001-09-28
don'tst12rney,Don't Stop Believin': Everyman's Journey,Cdgm.,61018.0,23.0,25573.0,23.0,http://www.boxofficemojo.com/movies/?id=dontstopbelievineverymansjourney.htm,2013-03-08
don'tth14roll,Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,Argo.,133443.0,7.0,19206.0,3.0,http://www.boxofficemojo.com/movies/?id=dontthinkiveforgottencambodiaslostrockandroll.htm,2015-04-22
don'tth16wice,Don't Think Twice,TFA,4417667.0,175.0,92835.0,1.0,http://www.boxofficemojo.com/movies/?id=dontthinktwice.htm,2016-07-22
donverd15dean,Don Verdean,LGP,31309.0,40.0,12907.0,40.0,http://www.boxofficemojo.com/movies/?id=donverdean.htm,2015-12-11
doogal06ogal,Doogal,Wein.,7417319.0,2319.0,3605899.0,2318.0,http://www.boxofficemojo.com/movies/?id=doogal.htm,2006-02-24
doom05doom,Doom,Uni.,28212337.0,3044.0,15488870.0,3044.0,http://www.boxofficemojo.com/movies/?id=doom.htm,2005-10-21
doomsda08sday,Doomsday,Rog.,11008770.0,1938.0,4926565.0,1936.0,http://www.boxofficemojo.com/movies/?id=doomsday.htm,2008-03-14
doorint04loor,The Door in the Floor,Focus,3854624.0,134.0,456876.0,47.0,http://www.boxofficemojo.com/movies/?id=thedoorinthefloor.htm,2004-07-14
doors:w09ange,When You're Strange,Abr.,246078.0,8.0,66833.0,8.0,http://www.boxofficemojo.com/movies/?id=whenyourestrange.htm,2010-04-09
dopamin03mine,Dopamine,Sun.,69544.0,10.0,22278.0,10.0,http://www.boxofficemojo.com/movies/?id=dopamine.htm,2003-10-10
dope15dope,Dope,ORF,17506470.0,2002.0,6100010.0,2002.0,http://www.boxofficemojo.com/movies/?id=dope.htm,2015-06-19
dopomez04otte,After Midnight,Avat.,50469.0,3.0,7634.0,2.0,http://www.boxofficemojo.com/movies/?id=aftermidnight.htm,2004-12-03
dorfman11fman,Dorfman in Love,BSM,13737.0,9.0,6410.0,9.0,http://www.boxofficemojo.com/movies/?id=dorfmaninlove.htm,2013-03-22
dorianb04lues,Dorian Blues,TLA,72234.0,5.0,12605.0,2.0,http://www.boxofficemojo.com/movies/?id=dorianblues.htm,2005-09-23
dormdaz03daze,Dorm Daze,120,56127.0,34.0,27712.0,34.0,http://www.boxofficemojo.com/movies/?id=dormdaze.htm,2003-09-24
dostana08tana,Dostana,Yash,1243910.0,74.0,645604.0,74.0,http://www.boxofficemojo.com/movies/?id=dostana.htm,2008-11-14
dotthei03thei,Dot the I,Free,307486.0,16.0,9581.0,1.0,http://www.boxofficemojo.com/movies/?id=dotthei.htm,2005-03-11
double13uble,The Double (2014),Magn.,200406.0,16.0,14646.0,2.0,http://www.boxofficemojo.com/movies/?id=thedouble(2014).htm,2014-05-09
doubled11maal,Double Dhamaal,Relbig.,543646.0,54.0,301831.0,54.0,http://www.boxofficemojo.com/movies/?id=doubledhamaal.htm,2011-06-24
doublei11blei,The Double,Imag.,137921.0,45.0,26640.0,11.0,http://www.boxofficemojo.com/movies/?id=thedouble.htm,2011-10-28
