key,title,year,opening_date,releasemonth,releaseweekday,releaseweeknumber,total_gross,adjusted_gross,nVotes,userscore,metascore,metacritic_user_score,studio,total_theaters,opening_gross,adjusted_opening_gross,opening_theaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier
suchalo98rney,Such a Long Journey,2000,3/24/00,March,Friday,12,92569,127890.6701,414,7.3,74,7,Sony,19,52466,72485.51782,16,2211,Such a Long Journey,2000,Such a Long Journey,1998,1.381571262
whateve00akes,Whatever It Takes,2000,3/24/00,March,Friday,12,8745680,12082780.15,7950,5.5,20,8.5,Sony,2272,4104298,5670380.166,2272,1221000,Whatever It Takes,2000,Whatever It Takes,2000,1.381571262
filthan00fury,The Filth and the Fury,2000,3/29/00,March,Wednesday,13,612192,845786.8738,4755,7.7,82,8.3,FL,29,13305,18381.80564,1,2311,The Filth and the Fury,2000,The Filth and the Fury,2000,1.381571262
longnig00oday,Long Night's Journey Into Day,2000,3/29/00,March,Wednesday,13,50715,70066.38654,189,8,85, ,7Art,3,6027,8326.729994,1,0.00001222,Long Night's Journey Into Day,2001,Long Night's Journey Into Day,2000,1.381571262
highfid00lity,High Fidelity,2000,3/31/00,March,Friday,13,27287137,37699124.29,140980,7.6,79,8.8,BV,1231,6429107,8882269.469,1183,2311,High Fidelity,2000,High Fidelity,2000,1.381571262
priceof00lory,Price of Glory,2000,3/31/00,March,Friday,13,3440228,4752920.138,712,6.5,32,8,NL,807,1611833,2226862.151,802,111101,Price of Glory,2000,Price of Glory,2000,1.381571262
rang-ek99hoda,The Color of Paradise,2000,3/31/00,March,Friday,13,1817216,2510613.402,10906,8.2,80,8.4,SPC,33,77328,106834.1425,13,1222,The Color of Paradise,2000,Rang-e khoda,1999,1.381571262
roadtoe00rado,The Road to El Dorado,2000,3/31/00,March,Friday,13,50863742,70271884.21,56297,6.9,51,7,DW,3223,12846652,17748565.21,3218,22101,The Road to El Dorado,2000,The Road to El Dorado,2000,1.381571262
skulls00ulls,The Skulls,2000,3/31/00,March,Friday,13,35046120,48418712.23,26569,5.6,24,7.3,Uni.,2416,11034885,15245479.99,2412,1121000,The Skulls,2000,The Skulls,2000,1.381571262
blackan99itei,Black and White,2000,4/7/00,April,Friday,14,5277299,7286708.383,5017,5,47, ,Sony,1284,2212535,3054990.315,1284,1001111000,Black and White,2000,Black and White,1999,1.38076474
joegoul00cret,Joe Gould's Secret,2000,4/7/00,April,Friday,14,468684,647142.3415,1361,6.6,74, ,USA,33,38760,53518.44133,5,122100,Joe Gould's Secret,2000,Joe Gould's Secret,2000,1.38076474
memysel99elfi,Me Myself I,2000,4/7/00,April,Friday,14,369975,510848.4348,2357,6.5,46, ,SPC,59,28030,38702.83567,9,12100,Me Myself I,2000,Me Myself I,1999,1.38076474
readyto00mble,Ready to Rumble,2000,4/7/00,April,Friday,14,12394327,17113649.7,11585,5.3,23,8.7,WB,2585,5257778,7259754.474,2585,1111000,Ready to Rumble,2000,Ready to Rumble,2000,1.38076474
returnt00tome,Return to Me,2000,4/7/00,April,Friday,14,32722798,45182485.68,16295,6.9,54,8.6,MGM,2320,7820836,10798734.59,2007,12211,Return to Me,2000,Return to Me,2000,1.38076474
rulesof00ment,Rules of Engagement,2000,4/7/00,April,Friday,14,61335230,84689522.92,37155,6.4,45,6.1,Par.,3220,15011181,20726909.43,3155,122100,Rules of Engagement,2000,Rules of Engagement,2000,1.38076474
southpa99tory,Southpaw: The Francis Barrett Story,2000,4/7/00,April,Friday,14,28365,39165.39186,102,6.7,62, ,Shoot.,19,21381,29522.13091,19,22200,Southpaw,2000,Southpaw: The Francis Barrett Story,1999,1.38076474
28days00days,28 Days,2000,4/14/00,April,Friday,15,37170488,51323699.21,34088,6,46,6.4,Sony,2523,10310672,14236612.35,2523,122100,28 Days,2000,28 Days,2000,1.38076474
america00ycho,American Psycho,2000,4/14/00,April,Friday,15,15070285,20808518.15,350212,7.6,64,8.9,Lions,1242,4961015,6849994.588,1236,2311,American Psycho,2000,American Psycho,2000,1.38076474
eastise99east,East is East,2000,4/14/00,April,Friday,15,4177818,5768583.785,14442,6.9,74,8.2,Mira.,157,53569,73966.18637,4,12200,East Is East,2000,East Is East,1999,1.38076474
