key,bechdel-rating,imdb-id,imdb-url,title,metatitle,metayear,imdbtitle,imdbyear,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,nGenres,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,boxofficemojo_url,metacritic_url,meta_retrieved,cpimultiplier,sourcedataset
milhhad08bahr,#N/A,,,Salt of this Sea,Salt of This Sea,2010,Milh Hadha al-Bahr,2008,2010,August,13,8/13/2010,Friday,33,11662,12897.04636,872,7,43,350,Lorb.,2,,888839,Occupied Palestinian Territory,Arabic,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4973,5499.657994,1,12111,http://www.boxofficemojo.com/movies/?id=saltofthissea.htm,http://www.metacritic.com/movie/salt of this sea,5/9/2017,1.105903478,Metacritic
milkand03oney,#N/A,,,Milk and Honey,Milk and Honey,2005,Milk and Honey,2003,2005,March,18,3/18/2005,Friday,11,9331,11654.43348,65,6.5,55,320,Wells,1,,-1,USA,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4315,5389.441697,1,111101,http://www.boxofficemojo.com/movies/?id=milkandhoney.htm,http://www.metacritic.com/movie/milk and honey,5/9/2017,1.249001552,Metacritic
milki08ilki,#N/A,,,Milk,Milk,2008,Milk,2008,2008,November,26,11/26/2008,Wednesday,48,31841299,36189283.28,142718,7.6,84,12,Focus,882,R,20000000,USA,English,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1453844,1652368.905,36,2311,http://www.boxofficemojo.com/movies/?id=milk.htm,http://www.metacritic.com/movie/milk,5/9/2017,1.136551724,Metacritic
million00otel,#N/A,,,The Million Dollar Hotel,The Million Dollar Hotel,2001,The Million Dollar Hotel,2000,2001,February,2,2/2/2001,Friday,5,59989,82384.89333,18892,5.9,25,361,Lions,10,R,8000000,Germany,English,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,29483,40489.98667,10,111100,http://www.boxofficemojo.com/movies/?id=themilliondollarhotel.htm,http://www.metacritic.com/movie/the million dollar hotel,5/9/2017,1.373333333,Metacritic
million04baby,3,405159,http://www.imdb.com/title/tt405159/,Million Dollar Baby,Million Dollar Baby,2004,Million Dollar Baby,2004,2004,December,15,12/15/2004,Wednesday,50,100492203,127493607.7,514114,8.1,86,11,WB,2375,PG-13,30000000,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,179953,228304.8486,8,1321,http://www.boxofficemojo.com/movies/?id=milliondollarbaby.htm,http://www.metacritic.com/movie/million dollar baby,5/9/2017,1.26869154,Metacritic
million04ions,#N/A,,,Millions,Millions,2005,Millions,2004,2005,March,11,3/11/2005,Friday,10,6584159,8223624.81,22460,7,74,78,FoxS,340,PG,-1,UK,English,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,70224,87709.88499,5,12210,http://www.boxofficemojo.com/movies/?id=millions.htm,http://www.metacritic.com/movie/millions,5/9/2017,1.249001552,Metacritic
million14rarm,1,1647668,http://www.imdb.com/title/tt1647668/,Million Dollar Arm,Million Dollar Arm,2014,Million Dollar Arm,2014,2014,May,16,5/16/2014,Friday,20,36457627,36998897.86,37580,7,56,349,BV,3019,PG,25000000,USA,English,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10515659,10671780.51,3019,13200,http://www.boxofficemojo.com/movies/?id=milliondollararm.htm,http://www.metacritic.com/movie/million dollar arm,5/9/2017,1.014846574,Metacritic
million14west,2,2557490,http://www.imdb.com/title/tt2557490/,A Million Ways to Die in the West,A Million Ways to Die in the West,2014,A Million Ways to Die in the West,2014,2014,May,30,5/30/2014,Friday,22,43139300,43779770.82,144363,6.1,44,489,Uni.,3160,R,40000000,USA,English,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16797385,17046768.62,3158,122100,http://www.boxofficemojo.com/movies/?id=amillionwaystodieinthewest.htm,http://www.metacritic.com/movie/a million ways to die in the west,5/9/2017,1.014846574,Metacritic
milnube03amor,#N/A,,,A Thousand Clouds of Peace,A Thousand Peace Clouds Encircle the Sky,2004,"Mil nubes de paz cercan el cielo, amor, jamás acabarás de ser amor",2003,2004,April,2,4/2/2004,Friday,14,48782,62646.46715,395,5.8,35,420,Strand,4,,-1,Mexico,Spanish,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5793,7439.444553,1,1000111101,http://www.boxofficemojo.com/movies/?id=athousandcloudsofpeace.htm,http://www.metacritic.com/movie/a thousand peace clouds encircle the sky,5/9/2017,1.284212766,Metacritic
milwauk03sota,#N/A,,,"Milwaukee, Minnesota","Milwaukee, Minnesota",2005,"Milwaukee, Minnesota",2003,2005,June,3,6/3/2005,Friday,22,17528,21757.4298,631,6.2,41,428,Tar.,3,R,-1,USA,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7517,9330.819249,3,112101,http://www.boxofficemojo.com/movies/?id=milwaukeeminnesota.htm,"http://www.metacritic.com/movie/milwaukee, minnesota",5/9/2017,1.24129563,Metacritic
mimadre02eres,#N/A,,,My Mother Likes Women,My Mother Likes Women,2004,A mi madre le gustan las mujeres,2002,2004,May,21,5/21/2004,Friday,21,82916,105862.3782,1447,6.3,51,287,Nora.,6,,-1,Spain,Spanish,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9780,12486.5413,1,122100,http://www.boxofficemojo.com/movies/?id=mymotherlikeswomen.htm,http://www.metacritic.com/movie/my mother likes women,5/9/2017,1.276742464,Metacritic
mindhun04ters,#N/A,,,Mindhunters,Mind the Gap,2004,Mindhunters,2004,2005,May,13,5/13/2005,Friday,19,4480744,5564789.02,51045,6.4,46,339,Dim.,1040,R,27000000,Netherlands,English,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1911358,2373780.785,1040,122100,http://www.boxofficemojo.com/movies/?id=mindhunters.htm,http://www.metacritic.com/movie/mind the gap,5/9/2017,1.241934156,Metacritic
mindthe04egap,#N/A,,,Mind the Gap,Mind the Gap,2004,Mind the Gap,2004,2004,September,24,9/24/2004,Friday,39,10637,13523.49755,778,7.2,46,,Zion,1,R,-1,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5503,6996.315408,1,1112,http://www.boxofficemojo.com/movies/?id=mindthegap.htm,http://www.metacritic.com/movie/mind the gap,6/14/2017,1.271363876,Metacritic
mingtia13ngwo,#N/A,,,Will You Still Love Me Tomorrow,Will You Still Love Me Tomorrow,2014,Ming tian ji de ai shang wo,2013,2014,January,17,1/17/2014,Friday,3,6694,6909.086202,414,6.7,56,,FM,3,,-1,Taiwan,Mandarin,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2969,3064.39751,3,13100,http://www.boxofficemojo.com/movies/?id=willyoustilllovemetomorrow.htm,http://www.metacritic.com/movie/will you still love me tomorrow,6/14/2017,1.032131192,Metacritic
mingzho15ingi,#N/A,,,Only You,Only You,2015,Ming zhong zhu ding,2015,2015,July,24,7/24/2015,Friday,30,61565,62281.634,80,5.4,,,CL,13,,-1,China,Mandarin,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,27311,27628.90776,13,00.12310.0,http://www.boxofficemojo.com/movies/?id=onlyyou.htm,http://www.metacritic.com/movie/only you,6/14/2017,1.011640283,Metacritic
mini'sf06time,#N/A,,,Mini's First Time,Mini's First Time,2006,Mini's First Time,2006,2006,July,14,7/14/2006,Friday,28,49034,58173.84122,7395,5.9,45,405,FInd.,7,R,6000000,USA,English,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,21828,25896.69629,7,121000,http://www.boxofficemojo.com/movies/?id=minisfirsttime.htm,http://www.metacritic.com/movie/mini's first time,5/9/2017,1.186398034,Metacritic
minions15ions,3,2293640,http://www.imdb.com/title/tt2293640/,Minions,Minions,2015,Minions,2015,2015,July,10,7/10/2015,Friday,28,336045770,339957437.7,158967,6.4,56,382,Uni.,4311,PG,74000000,USA,English,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,115718405,117065399.9,4301,122100,http://www.boxofficemojo.com/movies/?id=minions.htm,http://www.metacritic.com/movie/minions,5/9/2017,1.011640283,Metacritic
ministe09ters,#N/A,,,The Ministers,The Ministers,2009,The Ministers,2009,2009,October,16,10/16/2009,Friday,42,4447,4966.523284,1180,4.5,,,Maya,2,R,7000000,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2844,3176.251905,2,11210000,http://www.boxofficemojo.com/movies/?id=theministers.htm,http://www.metacritic.com/movie/the ministers,6/14/2017,1.116825564,Metacritic
