key,title,metatitle,metayear,imdbtitle,imdbyear,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,nGenres,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,boxofficemojo_url,metacritic_url,meta_retrieved,cpimultiplier,sourcedataset
don'tgo10oods,Don't Go in the Woods,Don't Go in the Woods,2012,Don't Go in the Woods,2010,2012,January,13,1/13/2012,Friday,2, , ,918,2.7,29,549,Trib.,1, ,-1,USA,English,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, , ,1,3110000000,http://www.boxofficemojo.com/movies/?id=dontgointhewoods.htm,http://www.metacritic.com/movie/don't go in the woods,5/9/2017,1.06514900844859,Metacritic
don'tsa01word,Don't Say a Word,Don't Say a Word,2001,Don't Say a Word,2001,2001,September,28,9/28/2001,Friday,39,55001642,74476480.26553,41815,6.3,38,315,Fox,2842,R,50000000,USA,English,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17090474,23141824.5584296,2802,0000132100,http://www.boxofficemojo.com/movies/?id=dontsayaword.htm,http://www.metacritic.com/movie/don't say a word,5/9/2017,1.35407739764442,Metacritic
don'tst12rney,Don't Stop Believin': Everyman's Journey,Don't Stop Believin': Everyman's Journey,2013,Don't Stop Believin': Everyman's Journey,2012,2013,March,8,3/8/2013,Friday,10,61018,63287.8288117608,1050,6.9,53,374,Cdgm.,23,R,-1,USA,English,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25573,26524.2985054109,23,0000012101,http://www.boxofficemojo.com/movies/?id=dontstopbelievineverymansjourney.htm,http://www.metacritic.com/movie/don't stop believin': everyman's journey,5/9/2017,1.03719933153759,Metacritic
don'tth14roll,Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,2015,Don't Think I've Forgotten: Cambodia's Lost Rock & Roll,2014,2015,April,22,4/22/2015,Wednesday,16,133443,136168.83577699,198,7.6,79,83,Argo.,7, ,-1,USA,English,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19206,19598.3203310242,3,0.00012212,http://www.boxofficemojo.com/movies/?id=dontthinkiveforgottencambodiaslostrockandroll.htm,http://www.metacritic.com/movie/don't think i've forgotten: cambodia's lost rock and roll,5/9/2017,1.02042696714694,Metacritic
don'tth16wice,Don't Think Twice,Don't Think Twice,2016,Don't Think Twice,2016,2016,July,22,7/22/2016,Friday,30,4417667,4432427.5609821,9812,6.8,83,39,TFA,175,R,-1,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92835,93145.1855976861,1,0000012200,http://www.boxofficemojo.com/movies/?id=dontthinktwice.htm,http://www.metacritic.com/movie/don't think twice,5/9/2017,1.00334125704407,Metacritic
don211don2,Don 2,Don 2,2011,Don 2,2011,2011,December,22,12/22/2011,Thursday,51,3680306,3937323.36396186,41904,7.1,49, ,Relbig.,167, ,16700000,India,Hindi,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1673921,1790820.72597398,157,0000001113,http://www.boxofficemojo.com/movies/?id=don2.htm,http://www.metacritic.com/movie/don 2,6/12/2017,1.06983586798539,Metacritic
dong-ch13aeng,Commitment,Commitment,2013,Dong-chang-saeng,2013,2013,December,6,12/6/2013,Friday,49,76543,79296.326420624,2053,6.8,36, ,WGUSA,22, ,-1,South Korea,Korean,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, , , ,0000013101,http://www.boxofficemojo.com/movies/?id=commitment.htm,http://www.metacritic.com/movie/commitment,6/12/2017,1.03597097606083,Metacritic
donjon13njon,Don Jon,Don Jon,2013,Don Jon,2013,2013,September,27,9/27/2013,Friday,39,24477704,25239061.5895349,199516,6.6,66,198,Rela.,2422,R,3000000,USA,English,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8677009,8946899.78128457,2422,0000123100,http://www.boxofficemojo.com/movies/?id=donjon.htm,http://www.metacritic.com/movie/don jon,5/9/2017,1.03110412600524,Metacritic
donkeyp08unch,Donkey Punch,Donkey Punch,2009,Donkey Punch,2008,2009,January,23,1/23/2009,Friday,4,19367,22145.2453739882,9620,5.2,43,308,Magn.,4,R,1184268,UK,English,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4744,5424.53885755152,2,0001221000,http://www.boxofficemojo.com/movies/?id=donkeypunch.htm,http://www.metacritic.com/movie/donkey punch,5/9/2017,1.14345254164239,Metacritic
donmcka09ckay,Don McKay,Don McKay,2010,Don McKay,2009,2010,April,2,4/2/2010,Friday,14,13722,15196.2987950039,2091,5.9,50, ,Imag.,7,R,-1,USA,English,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8919,9877.26198459697,7,0000122000,http://www.boxofficemojo.com/movies/?id=donmckay.htm,http://www.metacritic.com/movie/don mckay,6/12/2017,1.1074405185107,Metacritic
