key,title,releaseyear,opening_date,releasemonth,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,mpaa,budget,country,language,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,studio,totaltheaters,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier,sourcedataset,adjustedgrossbinned,nvotes_binned,dumpmonth
closery00uget,The Closer You Get,2000,2/25/2000,February,Friday,8,164927,234503.271283863,1267,6.4,44,PG-13,-1,UK,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FoxS,30,43307,61576.5348881036,10,0000122100,The Closer You Get,2000,The Closer You Get,2000,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
judyber99rlin,Judy Berlin,2000,2/25/2000,February,Friday,8,61236,87069.0809893993,925,6.8,74, ,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Shoot.,19,61236,87069.0809893993,19,0000011111,Judy Berlin,2000,Judy Berlin,1999,1.42186101295642,Metacritic,"Less than $100,000","101-1,000 votes",Dump month
mifunes99sang,Mifune,2000,2/25/2000,February,Friday,8,512434,728609.92631331,6886,7.2,57,R,-1,Denmark,Danish,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,SPC,34,44137,62756.6795288575,12,0000012210,Mifune's Last Song,2000,Mifunes sidste sang,1999,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
reindee00ames,Reindeer Games,2000,2/25/2000,February,Friday,8,23368995,33227462.9024735,32462,5.7,37,R,42000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,Mira.,2204,8128356,11557392.4958304,2204,0000121000,Reindeer Games,2000,Reindeer Games,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
3strike00ikes,3 Strikes,2000,3/1/2000,March,Wednesday,9,9832166,13865651.2950467,1463,4,11, ,3400000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,MGM,678,3684704,5196293.55214953,678,1011110000,3 Strikes,2000,3 Strikes,2000,1.41023364485981,Metacritic,$10-100 million,"1,001-10,000 votes",Dump month
drownin00mona,Drowning Mona,2000,3/3/2000,March,Friday,9,15506764,21868160.3157009,12045,5.6,25,PG-13,6000000,USA,English,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Dest.,1981,5802229,8182498.55098131,1981,0000121100,Drowning Mona,2000,Drowning Mona,2000,1.41023364485981,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
nextbig01hing,The Next Best Thing,2000,3/3/2000,March,Friday,9,14990582,21140223.0924299,183,6,47,R,1500000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Par.,2035,5870387,8278617.25574766,2007,0000121000,The Next Big Thing,2002,The Next Big Thing,2001,1.41023364485981,Metacritic,$10-100 million,"101-1,000 votes",Dump month
whatpla00rom?,What Planet Are You From?,2000,3/3/2000,March,Friday,9,6291602,8872628.82046729,8259,5.6,41,R,60000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Sony,2248,3008746,4243034.83803738,2248,0001121000,What Planet Are You From?,2000,What Planet Are You From?,2000,1.41023364485981,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
deterre99ence,Deterrence,2000,3/10/2000,March,Friday,10,145071,204584.005093458,2337,6.5,50, ,800000,France,English,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ParC,17,23318,32883.8281308411,7,0000112100,Deterrence,2000,Deterrence,1999,1.41023364485981,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
ekkusu96kusu,X,2000,3/10/2000,March,Friday,10,143355,202164.044158879,2190,6.2,40,R,-1,Japan,Japanese,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Mng,1,6672,9409.07887850467,1,0000112101,X,2000,Ekkusu,1996,1.41023364485981,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
god'sar00army,God's Army,2000,3/10/2000,March,Friday,10,2637726,3719809.9511215,905,6.6,38,PG,300000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zion,50,115642,163082.239158879,18,0000011111,God's Army,2000,God's Army,2000,1.41023364485981,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
mission00mars,Mission to Mars,2000,3/10/2000,March,Friday,10,60883407,85859828.9650935,62430,5.6,34,R,100000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,BV,3101,22855247,32231238.2809813,3054,0001121000,Mission to Mars,2000,Mission to Mars,2000,1.41023364485981,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
cottonm99mary,Cotton Mary,2000,3/15/2000,March,Wednesday,11,299432,422269.080747664,428,5.4,52,R,3500000,France,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,4,24680,34804.5663551402,4,0001111000,Cotton Mary,2000,Cotton Mary,1999,1.41023364485981,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
erinbro00vich,Erin Brockovich,2000,3/17/2000,March,Friday,11,125595205,177118583.724065,142163,7.3,73,R,52000000,USA,English,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uni.,3070,28138465,39681810.0577103,2848,0000013210,Erin Brockovich,2000,Erin Brockovich,2000,1.41023364485981,Metacritic,More than $100 million,"More than 100,000 votes",Dump month
finalde00tion,Final Destination,2000,3/17/2000,March,Friday,11,53331147,75209377.8183645,189583,6.7,36,R,23000000,Canada,English,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NL,2587,10015822,14124649.1653271,2587,0000023100,Final Destination,2000,Final Destination,2000,1.41023364485981,Metacritic,$10-100 million,"More than 100,000 votes",Dump month
