key,title,metatitle,imdbtitle,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,metayear,imdbyear,cpimultiplier,sourcedataset,adjustedgrossbinned,nvotes_binned,dumpmonth
mission00mars,Mission to Mars,Mission to Mars,Mission to Mars,2000,March,10,3/10/2000,Friday,10,60883407,85859828.9650935,62430,5.6,34,294,BV,3101,R,100000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,22855247,32231238.2809813,3054,0001121000,2000,2000,1.41023364485981,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
cottonm99mary,Cotton Mary,Cotton Mary,Cotton Mary,2000,March,15,3/15/2000,Wednesday,11,299432,422269.080747664,428,5.4,52,196,AL,4,R,3500000,France,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24680,34804.5663551402,4,0001111000,2000,1999,1.41023364485981,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
erinbro00vich,Erin Brockovich,Erin Brockovich,Erin Brockovich,2000,March,17,3/17/2000,Friday,11,125595205,177118583.724065,142163,7.3,73,67,Uni.,3070,R,52000000,USA,English,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28138465,39681810.0577103,2848,0000013210,2000,2000,1.41023364485981,Metacritic,More than $100 million,"More than 100,000 votes",Dump month
finalde00tion,Final Destination,Final Destination,Final Destination,2000,March,17,3/17/2000,Friday,11,53331147,75209377.8183645,189583,6.7,36,285,NL,2587,R,23000000,Canada,English,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10015822,14124649.1653271,2587,0000023100,2000,2000,1.41023364485981,Metacritic,$10-100 million,"More than 100,000 votes",Dump month
softfru99ruit,Soft Fruit,Soft Fruit,Soft Fruit,2000,March,17,3/17/2000,Friday,11,13654,19255.3301869159,489,6.6,56,178,FoxS,1,R,-1,Australia,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , , ,0000012111,2000,1999,1.41023364485981,Metacritic,"Less than $100,000","101-1,000 votes",Dump month
romeomu00tdie,Romeo Must Die,Romeo Must Die,Romeo Must Die,2000,March,22,3/22/2000,Wednesday,12,55973336,78935481.642243,58815,6.1,52,200,WB,2641,R,25000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,18014503,25404658.226028,2641,0000122100,2000,2000,1.41023364485981,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
wakingt00dead,Waking the Dead,Waking the Dead,Waking the Dead,2000,March,22,3/22/2000,Wednesday,12,270745,381813.70817757,6093,6.7,59,152,USA,62,R,8500000,USA,English,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,150422,212130.165327103,62,0000012111,2000,2000,1.41023364485981,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
buddybo99yboy,Buddy Boy,Buddy Boy,Buddy Boy,2000,March,24,3/24/2000,Friday,12,12597,17764.7132242991,917,6.4,36,287,FL,3,R,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3651,5148.76303738318,2,0000011111,2000,1999,1.41023364485981,Metacritic,"Less than $100,000","101-1,000 votes",Dump month
hereone00arth,Here on Earth,Here on Earth,Here on Earth,2000,March,24,3/24/2000,Friday,12,10522168,14838715.3304673,7591,5.1,25,330,Fox,1713,PG-13,15000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4510705,6361147.95303738,1712,0001111000,2000,2000,1.41023364485981,Metacritic,$10-100 million,"1,001-10,000 votes",Dump month
suchalo98rney,Such a Long Journey,Such a Long Journey,Such a Long Journey,2000,March,24,3/24/2000,Friday,12,92569,130543.918271028,416,7.3,74,63,Sony,19, ,-1,UK,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52466,73989.318411215,16,0000002211,2000,1998,1.41023364485981,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
